ENTITY	YEAR	CATEGORY	VAIC	ICE	HCE	SCE	CCE	VA	HC	SC	CE	LIABILITIES	ASSETS	EQUITY	NETPROFITS	SALES	DEBT	SIZE	ROA	ENTITY_ID
"CAJA AREQUIPA"	2019	"Caja"	2.98	2.31	1.85	0.46	0.67	519856.00	280668.00	"239188"	781017.00	5425656.00	6206673.00	781017.00	138797.00	1099057.00	0.87	1.10	0.0224	1
"CAJA AREQUIPA"	2020	"Caja"	2.00	1.56	1.32	0.24	0.44	358143.00	271405.00	"86738"	816217.00	6212504.00	7028721.00	816217.00	35311.00	1013077.00	0.88	1.01	0.0050	1
"CAJA AREQUIPA"	2021	"Caja"	2.74	2.40	1.92	0.48	0.34	305631.00	159418.00	"146213"	890652.00	7054075.00	7944727.00	890652.00	74834.00	1135713.00	0.89	1.14	0.0094	1
"CAJA AREQUIPA"	2022	"Caja"	2.96	2.56	2.05	0.51	0.39	376467.00	183467.00	"193000"	959918.00	7977162.00	8937080.00	959918.00	100825.00	1363670.00	0.89	1.36	0.0113	1
"CAJA AREQUIPA"	2023	"Caja"	2.26	1.71	1.41	0.29	0.55	544649.00	385196.00	"159453"	991725.00	9097652.00	10089377.00	991725.00	74010.00	1602813.00	0.90	1.60	0.0073	1
"CAJA CUSCO"	2019	"Caja"	2.65	2.10	1.69	0.41	0.55	300766.00	177802.00	"122964"	543279.00	3231869.00	3775149.00	543279.00	78113.00	588572.00	0.86	0.59	0.0207	2
"CAJA CUSCO"	2020	"Caja"	1.67	1.33	1.18	0.15	0.34	188876.00	160497.00	"28379"	557192.00	4325418.00	4882610.00	557192.00	11553.00	517314.00	0.89	0.52	0.0024	2
"CAJA CUSCO"	2021	"Caja"	2.03	1.58	1.33	0.25	0.44	262020.00	196613.00	"65407"	591335.00	4788339.00	5379674.00	591335.00	53410.00	619616.00	0.00	0.62	0.0099	2
"CAJA CUSCO"	2022	"Caja"	2.12	1.63	1.36	0.27	0.50	310824.00	228409.00	"82415"	624726.00	5130338.00	5755064.00	624726.00	71593.00	741602.00	0.89	0.74	0.0124	2
"CAJA CUSCO"	2023	"Caja"	2.12	1.62	1.36	0.26	0.50	329672.00	242967.00	"86705"	654839.00	5441881.00	6096720.00	654839.00	53140.00	941487.00	0.89	0.94	0.0087	2
"CAJA HUANCAYO"	2019	"Caja"	2.64	1.95	1.58	0.37	0.69	431744.00	272689.00	"159055"	625606.00	4498766.00	5124373.00	625606.00	102798.00	885657.00	0.88	0.89	0.0201	3
"CAJA HUANCAYO"	2020	"Caja"	1.92	1.46	1.26	0.20	0.46	324543.00	258259.00	"66284"	709977.00	6063074.00	6278228.00	709977.00	33018.00	856911.00	0.97	0.86	0.0053	3
"CAJA HUANCAYO"	2021	"Caja"	2.14	1.52	1.30	0.23	0.61	403615.00	311476.00	"92139"	658438.00	5619790.00	6773051.00	658438.00	52245.00	922622.00	0.83	0.92	0.0077	3
"CAJA HUANCAYO"	2022	"Caja"	2.28	1.65	1.38	0.27	0.63	500096.00	362721.00	"137375"	795280.00	7324185.00	8119465.00	795280.00	85303.00	1254387.00	0.90	1.25	0.0105	3
"CAJA HUANCAYO"	2023	"Caja"	2.11	1.50	1.28	0.22	0.61	509696.00	397005.00	"112691"	836104.00	8175589.00	9011693.00	836104.00	66950.00	1580120.00	0.91	1.58	0.0074	3
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								""										
""		""								" "										
