ENTITY	YEAR	CATEGORY	VAIC	ICE	HCE	SCE	CCE	VA	HC	SC	CE	LIABILITIES	ASSETS	EQUITY	NETPROFITS	SALES	DEBT	SIZE	ROA	U	V	W	ENTITY_ID
"COFIDE"	2019	"Financiera"	2.62	2.59	2.07	0.52	0.03	69529.00	33592.00	35937.00	2047483.00	8403877.00	10451360.00	2047483.00	26409.00	460495.00	0.80	0.46	0.0025				1
"COFIDE"	2020	"Financiera"	1.55	1.53	1.30	0.23	0.02	44646.00	34376.00	10270.00	2078356.00	10367993.00	12446349.00	2078356.00	20458.00	484995.00	0.83	0.48	0.0016				1
"COFIDE"	2021	"Financiera"	4.89	4.83	4.07	0.75	0.07	151691.00	37254.00	114437.00	2232457.00	10292384.00	12524841.00	2232457.00	41223.00	525181.00	0.82	0.53	0.0040				1
"COFIDE"	2022	"Financiera"	2.62	2.58	2.07	0.52	0.03	73111.00	35391.00	37720.00	2116662.00	9732411.00	11849073.00	2116662.00	33693.00	561805.00	0.82	0.56	0.0035				1
"COFIDE"	2023	"Financiera"	2.10	2.07	1.67	0.40	0.03	71573.00	42970.00	28603.00	2204835.00	8615007.00	10819842.00	2204835.00	71862.00	629957.00	0.80	0.63	0.0066				1
"COMPARTAMOS FINANCIERA"	2019	"Financiera"	2.77	1.84	1.50	0.34	0.93	481695.00	320181.00	161514.00	519747.00	2476334.00	2996081.00	519747.00	97953.00	806002.00	0.83	0.81	0.0327				2
"COMPARTAMOS FINANCIERA"	2020	"Financiera"	0.34	-0.17	0.92	-1.09	0.51	277604.00	302664.00	-302664.00	539152.00	3018234.00	3557386.00	539152.00	-34940.00	679138.00	0.85	0.68	-0.0098				2
"COMPARTAMOS FINANCIERA"	2021	"Financiera"	2.01	1.42	1.23	0.19	0.59	372166.00	302577.00	69589.00	630545.00	3137961.00	3768506.00	630545.00	35223.00	831330.00	0.83	0.83	0.0093				2
"COMPARTAMOS FINANCIERA"	2022	"Financiera"	2.30	1.65	1.38	0.27	0.65	482317.00	349914.00	132403.00	740346.00	3505837.00	4246183.00	740346.00	109724.00	1093946.00	0.83	1.09	0.0258				2
"COMPARTAMOS FINANCIERA"	2023	"Financiera"	2.45	1.74	1.43	0.30	0.71	610361.00	425804.00	184557.00	856226.00	4176807.00	5033033.00	856226.00	115048.00	1360357.00	0.83	1.36	0.0229				2
"CREDISCOTIA FINANCIERA"	2019	"Financiera"	4.32	3.80	3.12	0.68	0.52	565328.00	181250.00	384078.00	1089958.00	4300585.00	5390543.00	1089958.00	266952.00	1603185.00	0.80	1.60	0.0495				3
"CREDISCOTIA FINANCIERA"	2020	"Financiera"	1.69	1.85	-0.66	2.51	-0.16	-96248.00	145742.00	-241990.00	592879.00	2851927.00	3444806.00	592879.00	-174609.00	1221497.00	0.83	1.22	-0.0507				3
"CREDISCOTIA FINANCIERA"	2021	"Financiera"	2.32	2.05	1.65	0.40	0.27	169600.00	102548.00	67052.00	629727.00	2090867.00	2720594.00	629727.00	36988.00	603351.00	0.77	0.60	0.0136				3
